	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
carlotthirlwall					http://pbs.twimg.com/profile_images/524852726983696385/G31BV7Zw_normal.png					"carlotthirlwall

?? @TheVampsband ?? PLS BABES FOLLOW
ME ?? I LOVE YOU SO MUCH ?? YOU
ARE MY LIFE BABES #WeekTodayVampsUSA
http://t.co/ZS9rwX7mZS :)"																			1048	1291	22441	6535	3600	Distance means nothing when someone is worth everything .? @TheVampsBrad @brooksbeau @ArianaGrande followed?	1155 km ?	http://t.co/SerY2Z9EHA	Amsterdam	41139.57284	Open Twitter Page for This Person	https://twitter.com/carlotthirlwall	Yes					
mrsbeccairwin					http://pbs.twimg.com/profile_images/527236049102438403/BoFMqAbM_normal.jpeg					"mrsbeccairwin

RT @Page9theband: @MrsBeccaIrwin
nice choice! did you know it's
on our new album? check it out?
http://t.co/yAAQPElvyK :)"																			545	170	414	240		"Sophomore. Bands are my thing pretty much. Any music is good with me. I sing. The Twentys, Eminem, 1D, 5SOS, Katy Perry, Cher Lloyd, Demi Lovato & Little Mix??"	Ohio	http://t.co/5AlOwQRnJx		41924.22117	Open Twitter Page for This Person	https://twitter.com/mrsbeccairwin	Yes					
stereokicksasf					http://pbs.twimg.com/profile_images/525755369499275265/o8fFcOjk_normal.jpeg					"stereokicksasf

Btw follow my lovely sweet candy
cinammon apple pie barbie princess
@annita_music :) She's an amazing
person and and an incredible singer
:)"																			740	521	288	101	7200	X FACTOR BOYBAND aka my new obsession.Proud Stereokicker from the beginning #VoteForStereoKicks bc they're the best!Download @shots & #spreadpositivity Justin:*	In your heart	http://t.co/jtawRLy9O9	Kyiv	41923.78741	Open Twitter Page for This Person	https://twitter.com/stereokicksasf	Yes					
annita_music					http://pbs.twimg.com/profile_images/526900036622225408/zhxFkDc7_normal.jpeg					"annita_music

"																			8916	10013	6190	1396	7200	"My 1st cover is on soundcloud! Check It Out! #Youtuber #Fandoms. If you never chase your dreams, you'll never catch them."	Greece	https://t.co/SDhUQhUBxX	Athens	41651.67212	Open Twitter Page for This Person	https://twitter.com/annita_music	No					
rosarialovese3					http://pbs.twimg.com/profile_images/527167066541797376/YFpKqR3z_normal.jpeg					"rosarialovese3

@jimmyfallon hi, @EmblemThree just
released an amazing EP: http://t.co/Kprxn8wl7N
they should perform on ur show
:) #ForeverTogetherEP"																			604	1269	28606	15060	0	BUY #ForeverTogetherEP ON iTUNES: http://t.co/vpBHGBmkYc  https://t.co/Iq5WcXMzCZ ??	Portugal	http://t.co/bvkWxvuGkK	Lisbon	40061.57958	Open Twitter Page for This Person	https://twitter.com/rosarialovese3	Yes					
theellenshow					http://pbs.twimg.com/profile_images/506879346162671616/Dubu0oa3_normal.png					"theellenshow

"																			39275	33665413	9455	181	-25200	"Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular."	California	http://t.co/rJNCGU9GhH	Pacific Time (US & Canada)	39674.16021	Open Twitter Page for This Person	https://twitter.com/theellenshow	No					
jimmykimmellive					http://pbs.twimg.com/profile_images/1769270672/jimmy_thumbnail_test_normal.jpg					"jimmykimmellive

"																			500	661833	4720	16	-25200	Follow Jimmy on his personal twitter! @jimmykimmel	"Hollywood, CA"	http://t.co/GXu3fM6cWH	Pacific Time (US & Canada)	39924.86696	Open Twitter Page for This Person	https://twitter.com/jimmykimmellive	No					
johnsonnycc					http://pbs.twimg.com/profile_images/521416488201494529/SEqe7zJ0_normal.jpeg					"johnsonnycc

@JackJackJohnson YUR MY BABY MY
FUCJING CINNAMON APPLE :)"																			280	214	4691	6105	-10800	"those boys name jack & jack, yeah i kinda love them :("			Atlantic Time (Canada)	40539.64868	Open Twitter Page for This Person	https://twitter.com/johnsonnycc	Yes					
jackjackjohnson					http://pbs.twimg.com/profile_images/520317160107683840/GeBC0e51_normal.jpeg					"jackjackjohnson

"																			12094	1533370	8533	2546	-18000	Just a young adventurer http://t.co/f76wfFnLGN	Omaha/Los Angeles	https://t.co/KSHB1t90UL	Central Time (US & Canada)	40366.16428	Open Twitter Page for This Person	https://twitter.com/jackjackjohnson	No					
ordirecy					http://pbs.twimg.com/profile_images/2429485632/nagjc06js3myg7iqvbx2_normal.jpeg					"ordirecy

Nous adorons tous les prototypes
même ceux des années 80 :) http://t.co/XGqjx0XrhO
http://t.co/6P1dln5Koj"																			814	289	2482	60	-14400	"Bonjour, je m'appelle Eric Paquin. Propriétaire de ORDIGENI Sorel-Tracy. Geek & Passionné de gadget, technologie et nouveauté. @ORDIGENI @OrdiGeeK @ordigros"	"Sorel-Tracy, QC, Canada"	http://t.co/lytrkxQjXU	Eastern Time (US & Canada)	39647.09487	Open Twitter Page for This Person	https://twitter.com/ordirecy	Yes					
robotskeleton69					http://pbs.twimg.com/profile_images/523793917997613056/fWnELWAk_normal.jpeg					"robotskeleton69

@fitnzfrk So far the dog and I
have gone through two dozen apple
cider doughnuts, and it's probably
just about time for a dozen more!
:-)"																			1506	2376	41794	58965	-14400	It's you. It's always you. Yes... you. http://t.co/8NsHWyBUKM	New York. No not THAT New York	https://t.co/mfrMy6SXt4	Eastern Time (US & Canada)	39957.73949	Open Twitter Page for This Person	https://twitter.com/robotskeleton69	Yes					
fitnzfrk					http://pbs.twimg.com/profile_images/502314628223737856/OKn-2NSk_normal.jpeg					"fitnzfrk

"																			313	409	8657	3062	-18000	? Yoga chick • health foodie • model/writer/surfer • friend to animals & kids but has neither • shacking up with my doctor. http://t.co/lDtHLaG8Wg	Michigan/California		Quito	40371.61653	Open Twitter Page for This Person	https://twitter.com/fitnzfrk	No					
a_zarem					http://pbs.twimg.com/profile_images/525612543851921409/uKNJ1VLB_normal.jpeg					"a_zarem

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			219	222	3882	173		The best te?m in the world :) One Direction forever :) D?ily				41737.93519	Open Twitter Page for This Person	https://twitter.com/a_zarem	Yes					
juliabirtoc					http://pbs.twimg.com/profile_images/524669979418165249/0FUUxXy__normal.jpeg					"juliabirtoc

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			166	57	647	466		Romanian Girl ? #Directioner #5SOSFam #Lovatic	"Chicago, IL"			41601.39843	Open Twitter Page for This Person	https://twitter.com/juliabirtoc	Yes					
weirdzouiam					http://pbs.twimg.com/profile_images/527289402834161664/TLccGOS8_normal.png					"weirdzouiam

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			7	169	348	44	39600				Solomon Is.	41530.31069	Open Twitter Page for This Person	https://twitter.com/weirdzouiam	Yes					
serhiymakarenko					http://pbs.twimg.com/profile_images/517929387212439552/qhCeacZa_normal.jpeg					"serhiymakarenko

RT @zyafa: Coinverter for OS X
is now live on the App Store! Go
grab it now! :) https://t.co/5DwiSaRAzX"																			66	1780	62044	32	7200	?????? ??????.	"????, ???????"	http://t.co/XBUziXXurG	Kyiv	39952.57815	Open Twitter Page for This Person	https://twitter.com/serhiymakarenko	Yes					
zyafa					http://pbs.twimg.com/profile_images/1656087612/image_normal.jpg					"zyafa

@dufsky https://t.co/aUNQGSjP13
??? ?? RU ???????. ???????? ????
?? ????, ? iOS ?? ????? ??????
:)"																			369	1581	25187	780	7200	iOS Developer at @MacPaw. Currently working on @listen_app – Gesture Music Player http://t.co/IlUkj5gEQs	"Kyiv, Ukraine"		Kyiv	39641.04804	Open Twitter Page for This Person	https://twitter.com/zyafa	Yes					
karamanoguzhan					http://pbs.twimg.com/profile_images/523449381299945472/MDgOTRjY_normal.jpeg					"karamanoguzhan

apple store randevu sistemini çözdüm
:) alm?yorum randevular? :) persembe
13:20 randevu var ama ders var
alm?yorum ulan"																			94	99	2424	294	-18000	Sakarya Üniversitesi Besyo	Gebze	http://t.co/ZkQpBoyp8k	Quito	40339.77581	Open Twitter Page for This Person	https://twitter.com/karamanoguzhan	Yes					
zachdresch					http://pbs.twimg.com/profile_images/441051359056363520/PEwIFeZr_normal.jpeg					"zachdresch

Performing some open mic stand-up
at Taste of the Big Apple TONIGHT
at 9 pm!! 18+ and no cover charge,
and get ready for some hilarity!!
:)"																			1432	1384	2931	835	-18000	"If you follow me, I follow you back 'cuz I'm cool like that."			Central Time (US & Canada)	39889.1509	Open Twitter Page for This Person	https://twitter.com/zachdresch	Yes					
isabellalopezdi					http://pbs.twimg.com/profile_images/452048026446872576/PBTEdCAB_normal.jpeg					"isabellalopezdi

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			914	157	1803	2007	-18000	ONE DIRECTION			Central Time (US & Canada)	40868.9452	Open Twitter Page for This Person	https://twitter.com/isabellalopezdi	Yes					
wat_fz					http://pbs.twimg.com/profile_images/3034890714/e7a8092da269f72f96c90eb8b2e62b7a_normal.png					"wat_fz

@TheVampsband #WeekTodayVampsUSA
http://t.co/ckiO9vNoiE x :D"																			450	505	10905	1481	36000	JackandJack |Union J |Demi Lovato|MKTO|                                                                               Make the most out of life!! \o/	Australia		Brisbane	41158.33946	Open Twitter Page for This Person	https://twitter.com/wat_fz	Yes					
marusha_belle					http://pbs.twimg.com/profile_images/497754009050955778/kWBIe8Fk_normal.jpeg					"marusha_belle

Hey hey hey! Would you like to
see funny cartoon illustrations?
Come here! it's already on @CreativeMarket
https://t.co/VcBcSL4IYi :)"																			27	144	6078	19	-18000	??????? ???????????.	Russia	http://t.co/cEJ0Nv1saw	Quito	40085.6588	Open Twitter Page for This Person	https://twitter.com/marusha_belle	Yes					
creativemarket					http://pbs.twimg.com/profile_images/459036449896022016/c4ULfZuy_normal.jpeg					"creativemarket

"																			903	198274	9963	2710	-21600	"Creative Market is a platform for handcrafted, mousemade design content from independent creatives around the world."	"San Francisco, CA"	https://t.co/UF40H8POtM	Mountain Time (US & Canada)	40912.98929	Open Twitter Page for This Person	https://twitter.com/creativemarket	No					
timdallasone					http://pbs.twimg.com/profile_images/515209192261435392/EA1w8dpJ_normal.jpeg					"timdallasone

TT: #TrueBlood #TeenWolf #TheCW
#TheVampireDiaries ?? Take a bite
:) ?? AppStore =&gt; http://t.co/Z0cng0BDAy
http://t.co/Ko6cxOSk8w"																			1096	283	54	23						41907.77698	Open Twitter Page for This Person	https://twitter.com/timdallasone	Yes					
leah_oliviaxx					http://pbs.twimg.com/profile_images/522891360450641920/BFeY97ur_normal.jpeg					"leah_oliviaxx

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			2034	1740	10928	32		justin bieber is my everything?				41697.63456	Open Twitter Page for This Person	https://twitter.com/leah_oliviaxx	Yes					
dufsky					http://pbs.twimg.com/profile_images/49669192/walle_normal.png					"dufsky

"																			1193	1921	37847	32	14400	Barça fan. Apple lover. Rule breaker. Also product manager at @alfa_bank			Moscow	39101.92738	Open Twitter Page for This Person	https://twitter.com/dufsky	No					
augrunt					http://pbs.twimg.com/profile_images/503894969711476736/gzr3Ff7D_normal.png					"augrunt

@JennaGuillaume Thank you for making
me choke on my apple juice. :)"																			7202	9388	11966	4598	39600	"Independent candidate for NSW. New breed of politician: progressive, pragmatic. // Gen-Y | IT SysAdmin | Animal Protector | Anti-Corruption  | #auspol | #nswpol"	Sydney NSW Australia	http://t.co/6oviPqLOwp	Sydney	39842.92348	Open Twitter Page for This Person	https://twitter.com/augrunt	Yes					
jennaguillaume					http://pbs.twimg.com/profile_images/527253927729721344/TQsiFLdZ_normal.png					"jennaguillaume

"																			2545	3393	28612	19827	39600	I invented Post-Its and work at @BuzzFeedOz. Send hot guys and GIFs to jenna.guillaume@buzzfeed.com	Sydney	http://t.co/b2lDdehIiT	Sydney	39861.44563	Open Twitter Page for This Person	https://twitter.com/jennaguillaume	No					
atarli_kerem					http://pbs.twimg.com/profile_images/507301036575305728/bgWJWy0R_normal.jpeg					"atarli_kerem

@Atarli_kerem Hatta film bile de?il
90 dk l?k Apple reklam? resmen
:D dnsjds :D"																			182	3242	44219	56708	7200	"Atarl? insan, Kerem Hastas?,Kronik mutsuz, Tam bir alayc? Ku?, filmsever, Yazar, Çizer. Kepçük sever!, Tom Hardy ile sevgili..."	"Tav?an Deli?i, Alice"	http://t.co/elmn9waEOI	Istanbul	41620.6842	Open Twitter Page for This Person	https://twitter.com/atarli_kerem	Yes					
sodiglez97					http://pbs.twimg.com/profile_images/521854312025432064/aVFTJ_ng_normal.jpeg					"sodiglez97

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			151	78	3601	1262	-25200	Hi! I'm directioner I love One Direction! I Like Bruno Mars! Big Time Rush!  Demi Lovato! and Lady Gaga! I love your music is great!			Chihuahua	41212.82824	Open Twitter Page for This Person	https://twitter.com/sodiglez97	Yes					
jacksstirbrew					http://pbs.twimg.com/profile_images/378800000667335843/89bd4430bde76c61a75f0c7535c3ffaf_normal.jpeg					"jacksstirbrew

RT @AliMattu: Best part of fall?
APPLE CIDER DONUTS! Thanks @JacksStirBrew
:-) http://t.co/0rKDoynw9I"																			16	740	736	24	-14400	"local, community,  fair trade, shade-grown organic coffee STIR BREWED staying true to our roots. Est. 2003"	NYC	http://t.co/6nKEjcIfup	Eastern Time (US & Canada)	39978.21742	Open Twitter Page for This Person	https://twitter.com/jacksstirbrew	Yes					
alimattu					http://pbs.twimg.com/profile_images/510475486951002113/GTkjoRz9_normal.jpeg					"alimattu

"																			733	1642	6292	3332	-14400	"The Science Fiction Psychologist at http://t.co/uTLNyVk9A4, Cognitive Behavioral Therapist at @ColumbiaPsych, Cohost of @NerdHour, Trekkie on planet Earth."	"New York, NY"	http://t.co/IBD9HjyeHw	Eastern Time (US & Canada)	39861.36477	Open Twitter Page for This Person	https://twitter.com/alimattu	No					
vaddieg					http://pbs.twimg.com/profile_images/450032259446235136/1owIyhsk_normal.png					"vaddieg

RT @kovpas: .@alexmak ? ?????,
CurrentC ??????? ??????? ???????????:
???????-???? ???????????? ? ???????????
? ?????? :)) http://t.co/QuSH…"																			194	321	21991	68	7200	"?-Troll, iDeveloper, Arduino amateur, ? ?????? ??????????"	Kyiv		Kyiv	40013.77936	Open Twitter Page for This Person	https://twitter.com/vaddieg	Yes					
belhawary_					http://pbs.twimg.com/profile_images/508233153740546048/3iXvvYA3_normal.jpeg					"belhawary_

Steve Jobs on How Apple is being
run http://t.co/p27aihymqS The
best ideas win.. you can't win
all arguments if you've good guys
around :)"																			682	527	13265	1195	7200	Mobile apps publisher who's into #education & believing in #kids. Founder of the best source of app recommendations to Arab parents http://t.co/rzZOyDBoj8	"Egypt, unfortunately :'D"	http://t.co/kb1G6qhUd8	Cairo	40111.82804	Open Twitter Page for This Person	https://twitter.com/belhawary_	Yes					
igattaca					http://pbs.twimg.com/profile_images/526785222809886720/-IPGkVEh_normal.jpeg					"igattaca

Tweetbot3 Update ist da und löst
das Problem mit dem öffnen von
Links im internen Browser :) https://t.co/fyCyXhmpRV
#Tweetbot"																			187	222	12351	707	3600	"Technikfan, Kaffeefreund, Kino, TV und Serienschauer, MedienMensch, EarlyAdopter, CasualGamer, 3D-möger, iPhone6+iPad3 Besitzer, gernHelfer"	" Hildesheim, Germany"		Ljubljana	39273.36383	Open Twitter Page for This Person	https://twitter.com/igattaca	Yes					
defmech					http://pbs.twimg.com/profile_images/511612565374656512/BfQk1Lj3_normal.jpeg					"defmech

@stevenf You tried 3600x1800? :)
Looked OK to me in Apple Store."																			220	252	7790	806	0	Designer. Developer. Geek.	"Glasgow, Scotland."	http://t.co/VUz8juwx8h	Edinburgh	39036.91896	Open Twitter Page for This Person	https://twitter.com/defmech	Yes					
stevenf					http://pbs.twimg.com/profile_images/838378818/avatar_normal.png					"stevenf

"																			86	11266	7890	995	-25200	Panic co-founder. Gadfly. Dilettante. Roustabout. Idiot.	"Portland, Oregon"	http://t.co/WiOXirbrBZ	Pacific Time (US & Canada)	39112.7987	Open Twitter Page for This Person	https://twitter.com/stevenf	No					
zaynmaiikg					http://pbs.twimg.com/profile_images/527214594528260096/X7svtwSb_normal.jpeg					"zaynmaiikg

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			1547	1524	428	346	-7200	"I joke , I mistake, I cry , I smile , I fail .
I'm not perfect , nor promised it would be."			Mid-Atlantic	41932.89247	Open Twitter Page for This Person	https://twitter.com/zaynmaiikg	Yes					
evakremmida_					http://pbs.twimg.com/profile_images/503540832620666880/i55gkie2_normal.jpeg					"evakremmida_

RT @Real_Liam_Payne: Gunna have
a quick break whilst I eat when
I get back I wanna see creativity
:D get the remix and the single
http://t.…"																			274	157	1592	1169	7200	"#prouddirectioner #louisgirl? Louis, Niall, Liam, Harry, Zayn!!!!!! ?? COME TO GREECE! #GreecedeservesOTRATour"	"Greece, ??????"		Athens	41801.49578	Open Twitter Page for This Person	https://twitter.com/evakremmida_	Yes					
narcisse_nyssen					http://pbs.twimg.com/profile_images/521700764180545536/Q1T61KGY_normal.jpeg					"narcisse_nyssen

Ouais parce que Apple ont été décevant
avec le 6 e tout le monde chez
moi est en train de changer je
veux pas être le vilain petit canard
:p"																			68	191	5092	229	7200	Ton fion n'en pourra plus d'extase.			Athens	41273.58803	Open Twitter Page for This Person	https://twitter.com/narcisse_nyssen	Yes					
canard_rt					http://pbs.twimg.com/profile_images/525388949359820800/DArAT5kG_normal.jpeg					"canard_rt

RT @Narcisse_Nyssen: Ouais parce
que Apple ont été décevant avec
le 6 e tout le monde chez moi est
en train de changer je veux pas
être le …"																			1	49	5908	0	3600	"Mentionne moi, je te répondrai !"			Paris	41935.86578	Open Twitter Page for This Person	https://twitter.com/canard_rt	Yes					
xwhereweare					http://pbs.twimg.com/profile_images/524539100410687488/5ezJPs0B_normal.jpeg					"xwhereweare

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			1008	1105	6839	2461	-7200	not all angels have wings\\ recién salida del puticlub con Harry y louis//en el 3 y 4 de mayo se resume mi vida //	Argentina Bs.AS		Brasilia	41549.04046	Open Twitter Page for This Person	https://twitter.com/xwhereweare	Yes					
spritzinc					http://pbs.twimg.com/profile_images/519508087938367489/VLinX199_normal.png					"spritzinc

@BradGerick Litz is not made by
nor affiliated with Spritz. Apple
does provide refunds if you complain
though :)"																			76	17666	1158	21	-21600	Spritz is a Boston-based start-up focused on text streaming technology and its integration into modern communication.	"Boston, MA"	http://t.co/d3OyV45vNQ	Mountain Time (US & Canada)	41659.97792	Open Twitter Page for This Person	https://twitter.com/spritzinc	Yes					
bradgerick					http://pbs.twimg.com/profile_images/520213048829558785/rKN2FeEv_normal.jpeg					"bradgerick

"																			587	1877	25423	170	-14400	Director of Social Media @NYDailyNews | Maryland native | GerickBrad@gmail | WiFi password is on the fridge.	Brooklyn	http://t.co/jWz2oyfbu6	Eastern Time (US & Canada)	39881.10534	Open Twitter Page for This Person	https://twitter.com/bradgerick	No					
ivira					http://pbs.twimg.com/profile_images/448718084241518592/baqndvZD_normal.jpeg					"ivira

???????? ??? ?????????! “@zyafa:
Coinverter for OS X is now live
on the App Store! Go grab it now!
:) https://t.co/v6zRpcppZ0”"																			349	470	4577	278	7200	Software Developer @macpaw	Ukraine	http://t.co/yBtLd12uhU	Kyiv	39552.38134	Open Twitter Page for This Person	https://twitter.com/ivira	Yes					
keatonsshower					http://pbs.twimg.com/profile_images/526864200824795136/3rWgA5Im_normal.jpeg					"keatonsshower

RT @TracyBehr: Love it! :D ""@Emblem3PT
@younghollywood @TracyBehr What
you guys think about @EmblemThree
new EP #ForeverTogether http://t.c…"																			2831	4945	124922	57472	-14400	can keaton frickle frackle me in a corn field? || please tweet #KeatonCallMorganJuly25 or #KeatonCallMorgan || ??	sunshine/sunshine	https://t.co/6C42lPyxf8	Eastern Time (US & Canada)	41538.11771	Open Twitter Page for This Person	https://twitter.com/keatonsshower	Yes					
younghollywood					http://pbs.twimg.com/profile_images/465994442634063872/TFnAs_s3_normal.png					"younghollywood

"																			15837	2303221	39959	683	-25200	"Featuring exclusive celebrity interviews, buzzed about trends, and insider access to the hottest events and celebrity happenings you won't find anywhere else."	Los Angeles	http://t.co/xEaLNEGTvN	Pacific Time (US & Canada)	39832.79573	Open Twitter Page for This Person	https://twitter.com/younghollywood	No					
emblem3pt					http://pbs.twimg.com/profile_images/526963458890158080/qKG2m6GD_normal.jpeg					"emblem3pt

"																			270	1009	11064	10130	0	Your best source for @EmblemThree in Portugal since May 2013. #ForeverTogetherEP out now on iTunes: http://t.co/vpBHGBmkYc	Portugal	https://t.co/y9cokEOIPH	Lisbon	41403.96318	Open Twitter Page for This Person	https://twitter.com/emblem3pt	No					
tracybehr					http://pbs.twimg.com/profile_images/520728175580442624/D5Rm3bx8_normal.png					"tracybehr

Love it! :D ""@Emblem3PT @younghollywood
@TracyBehr What you guys think
about @EmblemThree new EP #ForeverTogether
http://t.co/asm6F84V8h"""																			1023	162005	9395	296	-25200	Texas girl living the Cali life. Marketing/production/all the above for Young Hollywood. I follow all fandoms :) @younghollywood @YHFangirls	"Los Angeles, CA"	http://t.co/oFpI2J9WZ8	Pacific Time (US & Canada)	39862.96025	Open Twitter Page for This Person	https://twitter.com/tracybehr	Yes					
keatsbydr_drew					http://pbs.twimg.com/profile_images/526594232262598656/e_SbnBsh_normal.jpeg					"keatsbydr_drew

RT @TracyBehr: Love it! :D ""@Emblem3PT
@younghollywood @TracyBehr What
you guys think about @EmblemThree
new EP #ForeverTogether http://t.c…"																			122	171	6062	1777	-14400	My heart is like a split divide; half of it beats for E3 and the other half beats for Drew.	the true north strong & free	http://t.co/J2WHY4Vk3w	Eastern Time (US & Canada)	40980.84619	Open Twitter Page for This Person	https://twitter.com/keatsbydr_drew	Yes					
ifvckedjacob					http://pbs.twimg.com/profile_images/525196819446648832/szStg4Nj_normal.jpeg					"ifvckedjacob

RT @dylanobrien: Theeeeere we go
direct link to SKAP on iTunes!
http://t.co/Y1kVGFp Getting better
at twitter :)"																			1830	5511	39072	8211	-36000	||| Welcome To The Candy Shop |||			Hawaii	41670.59451	Open Twitter Page for This Person	https://twitter.com/ifvckedjacob	Yes					
dublinnewgirl					http://pbs.twimg.com/profile_images/472539091985502209/PSSpr5wj_normal.jpeg					"dublinnewgirl

VIDEO: My scrumptious autumn apple
pie recipe! Featuring special star:
my dog :) http://t.co/4qL36dj5Tb
http://t.co/E90Hi5RMje"																			714	1019	1963	4855	0	An expat food & lifestyle blogger/ photographer. Finalist of Blog Awards Ireland 2014. Professionally works @ iProspect. Also tweeting @makingdigiwaves.	"Dublin,Ireland"	http://t.co/N0cNkU9Sbm	Dublin	40140.5964	Open Twitter Page for This Person	https://twitter.com/dublinnewgirl	Yes					
federicaa2510					http://pbs.twimg.com/profile_images/524586600593117185/BpRCGlto_normal.jpeg					"federicaa2510

RT @EmbIem3Canada: @JimmyKimmelLive
@EmblemThree released an amazing
EP check it out http://t.co/6BrzBYnDu0
They should perform sometime :)…"																			270	341	16472	9027	7200	"Just a small town girl living in a lonely world #Teaminspire Milan, Italy"		http://t.co/D5NsMo4GAs	Athens	41433.81735	Open Twitter Page for This Person	https://twitter.com/federicaa2510	Yes					
howlarissa					http://pbs.twimg.com/profile_images/522216343350022145/HPwkpIJ8_normal.jpeg					"howlarissa

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			262	573	15607	233	-7200				Brasilia	41142.00306	Open Twitter Page for This Person	https://twitter.com/howlarissa	Yes					
marjyz					http://pbs.twimg.com/profile_images/515615519035375616/7GP9xNOp_normal.jpeg					"marjyz

RT @lorelai92: Ciao carissima!
Ti auguro il meglio per il futuro
:) #BuonCompleannoLucianina http://t.co/NHW93BHLsi
http://t.co/KTMudLknwW"																			179	182	2748	7325	3600	#Fazietto . My idols: #LucianaLittizzetto e #FabioFazio . Sono tutta la mia vita. #Chetempochefa 08/08/1991 ? Annalisa Scarrone (Nali) ?? Emma ?? Noemi ??	"Mirandola, Italy"	https://t.co/4LFrWZjpsu	Rome	41254.62611	Open Twitter Page for This Person	https://twitter.com/marjyz	Yes					
lorelai92					http://pbs.twimg.com/profile_images/498212453000679425/PDwjXy2H_normal.jpeg					"lorelai92

Ciao carissima! Ti auguro il meglio
per il futuro :) #BuonCompleannoLucianina
http://t.co/NHW93BHLsi http://t.co/KTMudLknwW"																			205	162	3698	9135	3600	"Tu m'as dit que les autres font ainsi, mais je suis pas les autres.."			Bern	40300.60994	Open Twitter Page for This Person	https://twitter.com/lorelai92	Yes					
chacuvillier					http://pbs.twimg.com/profile_images/521234693245919232/mLqw4d7Z_normal.jpeg					"chacuvillier

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			94	50	848	72	7200	French Girl | Directioner 4ever | 20thjune2014 | WWAT | A dream is only a dream until you decide to make it real- Harry Styles			Athens	41689.69742	Open Twitter Page for This Person	https://twitter.com/chacuvillier	Yes					
jenpet8					http://pbs.twimg.com/profile_images/525722320418398209/SJbRtI_Z_normal.jpeg					"jenpet8

@LandsEndPR I absolutely love sitting
out on the porch &amp; watching
the fall sunset while drinking
apple cider :) #LEOuterwear #traveltuesday"																			135	10	274	37		"social media love! here to have fun, make friends, chat, and possibly win!"				41624.11017	Open Twitter Page for This Person	https://twitter.com/jenpet8	Yes					
landsendpr					http://pbs.twimg.com/profile_images/517385741425311744/wPKeK5LU_normal.jpeg					"landsendpr

"																			1012	12702	4491	93	-18000	Latest news from the Lands' End PR Team.	"Dodgeville, Wis."	http://t.co/1gwBgP9Tsf	Central Time (US & Canada)	40499.85404	Open Twitter Page for This Person	https://twitter.com/landsendpr	No					
speedsterit					http://pbs.twimg.com/profile_images/435748917754331136/D2TzwktU_normal.png					"speedsterit

Humorous Apple IT Support :) Just
fixed my Apple charger hahaha!!
#ITSupportLondon #London http://t.co/nVja4trunX"																			1047	1463	1846	82	0	Speedster - IT are committed to providing professional IT Support & Consultancy solutions to SME'S. Specialty Restaurant support to London's top 100 in business	"Aldgate, London E1"	http://t.co/WNIhkZwbCg	London	40957.45843	Open Twitter Page for This Person	https://twitter.com/speedsterit	Yes					
janboart					http://pbs.twimg.com/profile_images/513858592089198592/Rirfjfc2_normal.jpeg					"janboart

T?pat man daudz liel?ks respekts
ir pret tiem cilv?kiem,kuri paši
ku??s un m??ina att?st?t SAVU biznesu,nevis
str?d? IBM,GOOGLE vai APPLE :)"																			9	362	18833	39	10800	"Fotogr?fs,akt?va dz?ves veida piekrit?js un vienk?rši - labs draugs."	Latvia	http://t.co/6e8Hd2NsFi	Baghdad	40832.66955	Open Twitter Page for This Person	https://twitter.com/janboart	Yes					
alien8					http://pbs.twimg.com/profile_images/512248683879231488/wU7yQSmf_normal.jpeg					"alien8

@calebbarlow apple registering
1 Million cards within the 1st
week.. Walmart promoting it now
- yup, fun :)"																			715	1481	12574	158	0	"Event Director of @44CON  @anzenlondon , Co-founder/organiser 44CON Resting Defcon goon. Good coffee. herder of cats. I ride bikes - Director of @aprirebicycles"	" 0.000000,0.000000"	http://t.co/hd6z19RhfA	London	39687.65981	Open Twitter Page for This Person	https://twitter.com/alien8	Yes					
